time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-03-24 01:30:56.486 UTC, ,125,3163277,1184,17424, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,4560,5, ,4056, , , , ,4605,100892995584,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4605, ,1553391056064, , , , ,3145728,4675, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42452760,2, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , 
2019-03-24 01:33:00.677 UTC, ,125,3160333,1184,14480, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,30,14, , , , , , , , , , , , , ,5436,6, ,4756, , , , ,5481,100886200320,24,24, , , , , ,1,79, , , , , , , , , , , , , , , , , , , , , , , , , ,5481, ,1553391180264, , , , ,3145728,5436, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,103279,34, , , , , , , , , , ,32586272,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:33:00.708 UTC, ,125,3163301,1184,17448, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,5436,6, ,4756, , , , ,5481,100886200320,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5481, ,1553391180264, , , , ,3145728,5551, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42444400,2, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , 
2019-03-24 01:35:43.179 UTC, ,125,3160357,1184,14504, , ,3,2,24,3,0.13, , , , , , , ,3,3, ,2,2,2,1,5, ,32,15, , , , , , , , , , , , , ,6142,7, ,5632, , , , ,6187,100871389184,24,24, , , , , ,1,88, , , , , , , , , , , , , , , , , , , , , , , , , ,6187, ,1553391342784, , , , ,3145728,6142, , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,105402,36, , , , , , , , , , ,32613336,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:35:43.208 UTC, ,125,3163325,1184,17472, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,6142,7, ,5632, , , , ,6187,100871389184,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6187, ,1553391342784, , , , ,3145728,6257, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42471592,2, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , 
2019-03-24 01:38:46.201 UTC, ,125,3160381,1184,14528, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,34,16, , , , , , , , , , , , , ,7050,8, ,6338, , , , ,7095,100851429376,21,21, , , , , ,1,99, , , , , , , , , , , , , , , , , , , , , , , , , ,7095, ,1553391525810, , , , ,3145728,7050, , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,103451,36, , , , , , , , , , ,34926848,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:38:46.225 UTC, ,125,3163349,1184,17496, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,7050,8, ,6338, , , , ,7095,100851429376,21,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7095, ,1553391525810, , , , ,3145728,7165, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42394040,1, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , 
2019-03-24 01:40:01.375 UTC, ,125,3160405,1184,14552, , ,3,2,26,3,0.12, , , , , , , ,3,3, ,2,2,2,1,5, ,38,17, , , , , , , , , , , , , ,7758,9, ,7246, , , , ,7803,100846125056,21,21, , , , , ,1,108, , , , , , , , , , , , , , , , , , , , , , , , , ,7803, ,1553391600987, , , , ,3145728,7758, , ,27,0, , , ,2, , , ,3, , , , ,27, ,2048,1, , , , ,105572,38, , , , , , , , , , ,34968008,2, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:40:01.395 UTC, ,125,3163373,1184,17520, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,7758,9, ,7246, , , , ,7803,100846125056,21,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7803, ,1553391600987, , , , ,3145728,7873, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42443384,2, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , 
2019-03-24 01:41:39.983 UTC, ,125,3160429,1184,14576, , ,3,2,26,3,0.12, , , , , , , ,3,3, ,2,2,2,1,5, ,40,18, , , , , , , , , , , , , ,8599,10, ,7954, , , , ,8644,100837707776,20,20, , , , , ,2,119, , , , , , , , , , , , , , , , , , , , , , , , , ,8644, ,1553391699586, , , , ,3145728,8599, , ,28,0, , , ,2, , , ,3, , , , ,28, ,2048,1, , , , ,122049,41, , , , , , , , , , ,34968152,1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:41:40.004 UTC, ,125,3163397,1184,17544, , ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,8599,10, ,7954, , , , ,8644,100837707776,20,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8644, ,1553391699586, , , , ,3145728,8714, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42435368,1, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , 
2019-03-24 01:55:23.961 UTC, ,125,3160453,1184,14600, , ,3,1,26,3,0.12, , , , , , , ,3,3, ,2,1,2,1,5, ,42,19, , , , , , , , , , , , , ,9438,11, ,8795, , , , ,9483,100759900160,19,19, , , , , ,2,128, , , , , , , , , , , , , , , , , , , , , , , , , ,9483, ,1553392523559, , , , ,3145728,9438, , ,28,0, , , ,2, , , ,3, , , , ,28, ,2048,1, , , , ,120084,41, , , , , , , , , , ,34996520,2, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:55:23.987 UTC, ,125,3163421,1184,17568, , ,4, ,4,1,0.25, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,9438,11, ,8795, , , , ,9483,100759900160,19,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9483, ,1553392523559, , , , ,3145728,9553, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42464704,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , 
2019-03-24 01:56:48.027 UTC, ,125,3160477,1184,14624, , ,3,2,26,3,0.12, , , , , , , ,3,3, ,2,2,2,1,5, ,44,20, , , , , , , , , , , , , ,10316,12, ,9654, , , , ,10361,100751568896,19,19, , , , , ,2,139, , , , , , , , , , , , , , , , , , , , , , , , , ,10361, ,1553392607629, , , , ,3145728,10316, , ,30,0, , , ,2, , , ,3, , , , ,30, ,2048,1, , , , ,122217,43, , , , , , , , , , ,34927856,2, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-24 01:56:48.056 UTC, ,125,3163493,1184,17640, , ,4, ,4,1,0.25, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,10316,12, ,9654, , , , ,10361,100751568896,19,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10361, ,1553392607629, , , , ,3145728,10431, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,42395184,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , 
